word_id,human_top_pos,model_top_pos,pos_match_at_1,pos_intersection_at_1,pos_intersection_at_2,pos_intersection_at_3,pos_intersection_at_4,pos_intersection_at_5
молоко,NOUN,PRON,0,0.0,0.0,0.6666666666666666,0.75,0.8
мопед,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
мужу,PRON,DET,0,0.0,0.5,0.6666666666666666,0.5,0.6
мяли,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
называют,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.2
напряжение,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
неопытным,ADJ,ADJ,1,1.0,1.0,0.6666666666666666,0.75,0.8
несчастные,CCONJ,CCONJ,1,1.0,0.5,0.3333333333333333,0.5,0.4
неявное,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.8
новой,ADJ,ADV,0,0.0,1.0,0.6666666666666666,0.75,1.0
ноев,NOUN,ADP,0,0.0,0.5,0.6666666666666666,0.5,0.4
ножа,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
нюх,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
обгорели,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
обнаружена,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.8
обстановка,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
обществе,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
одинаковые,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.8
омоет,ADV,PUNCT,0,0.0,0.5,0.6666666666666666,0.5,0.4
орехового,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
осы,NOUN,NOUN,1,1.0,1.0,1.0,0.75,0.6
отдельная,ADJ,NOUN,0,0.0,0.5,0.3333333333333333,0.5,0.8
открытая,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
пахучим,NOUN,ADJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
пластмассы,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
повторили,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
подвинул,NOUN,VERB,0,0.0,0.5,0.6666666666666666,0.5,0.6
подруга,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.5,0.8
покрывало,NOUN,VERB,0,0.0,1.0,0.6666666666666666,0.5,0.4
полный,CCONJ,CCONJ,1,1.0,0.5,0.6666666666666666,0.75,0.8
получает,VERB,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.4
пополнела,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
прежняя,NOUN,DET,0,0.0,0.5,0.6666666666666666,0.75,1.0
прибыльных,ADJ,ADJ,1,1.0,1.0,0.6666666666666666,0.5,0.4
пригрозили,VERB,PART,0,0.0,0.5,0.3333333333333333,0.75,0.6
противник,VERB,PRON,0,0.0,0.5,0.3333333333333333,0.25,0.4
раритетных,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.75,0.6
растяжение,NOUN,ADJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
расходу,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
реки,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
ремешок,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
розетки,VERB,ADP,0,0.0,0.0,0.3333333333333333,0.5,0.6
росли,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
рот,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
рубильник,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
русалки,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.5,0.8
рыбу,NOUN,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
рыть,VERB,VERB,1,1.0,0.5,0.6666666666666666,0.5,0.6
сгущенки,VERB,PART,0,0.0,0.5,0.3333333333333333,0.25,0.6
семья,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
сечь,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.4
снег,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,1.0,0.8
собака,ADJ,PART,0,0.0,0.5,0.3333333333333333,0.5,0.6
сонату,NOUN,ADJ,0,0.0,1.0,1.0,0.75,0.6
сора,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.75,0.8
соринку,NUM,NUM,1,1.0,1.0,0.6666666666666666,0.5,0.6
союзу,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
спать,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.75,0.6
специалист,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.6
спокойный,PRON,ADP,0,0.0,0.5,0.6666666666666666,0.5,0.4
стога,NOUN,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
стоимостью,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.2
страницы,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
страшных,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.6
сук,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
сытные,PRON,DET,0,0.0,0.5,0.6666666666666666,0.75,0.8
талый,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
телефон,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
техосмотра,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
тонким,NOUN,CCONJ,0,0.0,0.5,0.6666666666666666,0.75,0.6
трепало,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.75,0.6
углу,NOUN,ADP,0,0.0,1.0,1.0,0.75,0.8
узкой,ADJ,PART,0,0.0,0.0,0.3333333333333333,0.5,0.4
узнал,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.4
уйма,ADJ,ADJ,1,1.0,1.0,1.0,0.75,0.6
уйти,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.75,0.6
урон,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
урчала,VERB,PUNCT,0,0.0,0.0,0.0,0.5,0.6
ускользать,VERB,VERB,1,1.0,0.5,0.6666666666666666,0.5,0.4
установить,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.75,0.6
ухо,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
фарш,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
фен,SCONJ,SCONJ,1,1.0,0.5,0.3333333333333333,0.5,0.6
хаки,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.6
хмурила,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
центре,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
шаг,NOUN,PRON,0,0.0,0.5,0.3333333333333333,0.25,0.4
шлейф,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
штатив,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
юлин,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
юный,PRON,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
ярых,NOUN,NOUN,1,1.0,0.5,1.0,0.75,0.6
