left_context,target_word,human_top_pos,model_top_pos,pos_match_at_1,pos_intersection_at_1,pos_intersection_at_2,pos_intersection_at_3,pos_intersection_at_4,pos_intersection_at_5
Вспоминая,журчание,ADJ,INTJ,0,0.0,0.0,0.0,0.5,0.4
"Он вскрыл пачку сухарей,",заварил,VERB,CCONJ,0,0.0,1.0,0.6666666666666666,0.75,0.8
Но четыре года я не мог себя,заставить,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
На Ольгу Васильевну было написано,заявление,NOUN,PUNCT,0,0.0,0.0,0.3333333333333333,0.75,0.6
Я знал: их особенно,злило,VERB,PART,0,0.0,0.0,0.6666666666666666,1.0,0.8
Очень тогда,злые,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.5,0.6
Создать настоящие шедевры вам помогут,зоркий,DET,ADJ,0,0.0,0.5,0.3333333333333333,0.5,0.4
Наши власти позволяют себе,излишества,ADV,PART,0,0.0,0.0,0.3333333333333333,0.5,0.4
У нас в Волгограде многие придерживаются,иной,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
Ей никак не суметь,испечь,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
Во избежание ожогов надо нанести на лицо небольшое,количество,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
В вопросе послышался упрёк,командиру,ADP,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
"За углом ― Морской музей, с бесчисленными моделями",кораблей,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
"Мне нравится сын коллеги,",который,PRON,CCONJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
Душа требовала,красоты,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.8
Наше правительство сделало,крен,NOUN,PRON,0,0.0,0.0,0.3333333333333333,0.25,0.2
А промывать манную,крупу,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.4
Каждое утро на самый верх,крыши,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.6
Убедительно просим вас разборчиво заполнять,купон,NOUN,PRON,0,0.0,1.0,0.6666666666666666,0.5,0.4
На болотах оставался ещё,лед,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.75,0.8
Дорога ведет в глухой,лес,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
На ведущей вниз,лестнице,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
Когда она в самолёте,летела,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
Возможности этих перемен будут обсуждаться в Париже,летом,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.5,0.4
"Там, недалеко от кухонной двери, сидел",лис,NOUN,ADP,0,0.0,0.5,1.0,0.75,0.6
"В багажнике были лопата,",лом,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
Старуха была страшной --,лопоухая,PRON,ADP,0,0.0,0.0,0.0,0.0,0.4
Врач прописал заживляющую,мазь,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
В бассейне,микробы,NOUN,PUNCT,0,0.0,0.0,0.0,0.0,0.0
В резервациях,миссионеры,NOUN,PUNCT,0,0.0,0.0,0.0,0.25,0.2
"Мама брала меня с собой, и мы, сдав",молоко,NOUN,PRON,0,0.0,0.0,0.6666666666666666,0.75,0.8
Приблизительно в центре тайги,мопед,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
Не поручайте,мужу,PRON,DET,0,0.0,0.5,0.6666666666666666,0.5,0.6
В деревнях по-прежнему,мяли,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
В числе возможных кандидатов,называют,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Твоё тело расслабляется, и исчезает",напряжение,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Он был очень,неопытным,ADJ,ADJ,1,1.0,1.0,0.6666666666666666,0.75,0.8
"Они не ели целый день,",несчастные,CCONJ,CCONJ,1,1.0,0.5,0.3333333333333333,0.5,0.4
В речи учёного прозвучало,неявное,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.8
Тема эта в то время была,новой,ADJ,ADV,0,0.0,1.0,0.6666666666666666,0.75,1.0
"Существует легенда, что",ноев,NOUN,ADP,0,0.0,0.5,0.6666666666666666,0.5,0.4
Он ловко поддел концом,ножа,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
У директора школы был тонкий,нюх,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.6
У Пашки,обгорели,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
В конверте вместе с деньгами была,обнаружена,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.8
Стала стабильнее экономическая и политическая,обстановка,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
В современном,обществе,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Педагог предъявляет,одинаковые,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.75,0.8
"Я сказал, что русский солдат",омоет,ADV,PUNCT,0,0.0,0.5,0.6666666666666666,0.5,0.4
Старый шкаф,орехового,VERB,PUNCT,0,0.0,0.0,0.3333333333333333,0.25,0.2
В сюжете этого фильма какие-то,осы,NOUN,NOUN,1,1.0,1.0,1.0,0.75,0.6
Ирине досталась,отдельная,ADJ,NOUN,0,0.0,0.5,0.3333333333333333,0.5,0.8
На газовой плите стояла,открытая,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
"Я люблю салат из картошки с зеленью, заправленный",пахучим,NOUN,ADJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
Ненужный коврик из твёрдой,пластмассы,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Что ты хочешь чтобы тебе,повторили,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Журналист взял карандаш,",подвинул,NOUN,VERB,0,0.0,0.5,0.6666666666666666,0.5,0.6
У мамы есть,подруга,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.5,0.8
Отвернув цветастое,покрывало,NOUN,VERB,0,0.0,1.0,0.6666666666666666,0.5,0.4
"У тебя впереди замечательный день,",полный,CCONJ,CCONJ,1,1.0,0.5,0.6666666666666666,0.75,0.8
Этот студент,получает,VERB,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.4
"Она почти не изменилась, только слегка",пополнела,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
Перед ним снова была,прежняя,NOUN,DET,0,0.0,0.5,0.6666666666666666,0.75,1.0
Торговля продуктами питания является одной из самых,прибыльных,ADJ,ADJ,1,1.0,1.0,0.6666666666666666,0.5,0.4
Когда родители,пригрозили,VERB,PART,0,0.0,0.5,0.3333333333333333,0.75,0.6
"Товарищ генерал,",противник,VERB,PRON,0,0.0,0.5,0.3333333333333333,0.25,0.4
"Считается, что коллекционирование",раритетных,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.75,0.6
"Один футболист, который получил",растяжение,NOUN,ADJ,0,0.0,1.0,0.6666666666666666,0.5,0.4
Судя по огромному,расходу,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Город, раскинувшийся вдоль",реки,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Под рукавом рубашки виднелся тонкий,ремешок,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
На вторичном рынке жилья,розетки,VERB,ADP,0,0.0,0.0,0.3333333333333333,0.5,0.6
Телята быстро,росли,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.5,0.4
Ваня раскрыл было,рот,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
В мои обязанности входило утром включить,рубильник,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
И на берегу озера тогда появляются,русалки,NOUN,NUM,0,0.0,0.5,0.6666666666666666,0.5,0.8
"Наживка, на которую он ловил",рыбу,NOUN,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
"Не обнаружив ничего в досье, сыщики решили",рыть,VERB,VERB,1,1.0,0.5,0.6666666666666666,0.5,0.6
Когда мне хотелось,сгущенки,VERB,PART,0,0.0,0.5,0.3333333333333333,0.25,0.6
"Взяв с собой фотоаппарат, вся",семья,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Собаку, виновницу случившегося, приказали",сечь,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.4
Мне было лень идти на стоянку и сметать,снег,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,1.0,0.8
От смерти его спасла,собака,ADJ,PART,0,0.0,0.5,0.3333333333333333,0.5,0.6
"По воскресеньям музыканты, исполнявшие",сонату,NOUN,ADJ,0,0.0,1.0,1.0,0.75,0.6
Он умел из любого,сора,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.75,0.8
Если я еще увижу здесь хоть,соринку,NUM,NUM,1,1.0,1.0,0.6666666666666666,0.5,0.6
Количество денег в обороте выросло благодаря,союзу,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
Он стал плохо,спать,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.75,0.6
Работы выполняет,специалист,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.6
"Зачем ему звонить, если откликается",спокойный,PRON,ADP,0,0.0,0.5,0.6666666666666666,0.5,0.4
"Я слезал, щупал",стога,NOUN,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.4
Шею Лизы украшало ожерелье,стоимостью,ADP,ADP,1,1.0,0.5,0.3333333333333333,0.25,0.2
Этот роман захватывает читателя с первой,страницы,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Автор принадлежит к числу последних свидетелей,страшных,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.6
В темноте Иван задел острый,сук,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Приготовь себе диетические овощные блюда,",сытные,PRON,DET,0,0.0,0.5,0.6666666666666666,0.75,0.8
"Олень бродил среди берёз, жевал",талый,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
Причиной аварии был мобильный,телефон,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
После завершения,техосмотра,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
Чтобы придать объем,тонким,NOUN,CCONJ,0,0.0,0.5,0.6666666666666666,0.75,0.6
В лесу ветром,трепало,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.75,0.6
В каждом,углу,NOUN,ADP,0,0.0,1.0,1.0,0.75,0.8
Власть судов была такой,узкой,ADJ,PART,0,0.0,0.0,0.3333333333333333,0.5,0.4
Володя каким-то образом,узнал,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.5,0.4
За два года накопилась,уйма,ADJ,ADJ,1,1.0,1.0,1.0,0.75,0.6
Если мы позволим этим людям,уйти,VERB,PUNCT,0,0.0,0.5,0.3333333333333333,0.75,0.6
"Думаю, большой",урон,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.5,0.4
"Елена сидела в кресле, молодая Мурка",урчала,VERB,PUNCT,0,0.0,0.0,0.0,0.5,0.6
От внимания наблюдателя не должна,ускользать,VERB,VERB,1,1.0,0.5,0.6666666666666666,0.5,0.4
Государством предлагается,установить,VERB,VERB,1,1.0,1.0,0.6666666666666666,0.75,0.6
"Сделав мне знак помолчать, он приложил",ухо,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.75,0.6
"Она успевала убраться, разморозить",фарш,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
"Что используют для этой прически,",фен,SCONJ,SCONJ,1,1.0,0.5,0.3333333333333333,0.5,0.6
"Выбирая вязаную шапочку, знайте, что лучше шапка цвета",хаки,NOUN,PUNCT,0,0.0,0.0,0.6666666666666666,0.5,0.6
Она с досадой,хмурила,VERB,VERB,1,1.0,0.5,0.3333333333333333,0.25,0.2
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
Я сделала,шаг,NOUN,PRON,0,0.0,0.5,0.3333333333333333,0.25,0.4
За министром труда тянется целый,шлейф,NOUN,NOUN,1,1.0,0.5,0.6666666666666666,0.5,0.4
Мы установили камеру на новый,штатив,NOUN,NOUN,1,1.0,1.0,0.6666666666666666,0.5,0.4
Ей хотелось выплеснуть чай на бежевый,юлин,NOUN,NOUN,1,1.0,0.5,0.3333333333333333,0.25,0.2
На привале у озера,юный,PRON,PUNCT,0,0.0,0.5,0.3333333333333333,0.25,0.2
"Покуда я нахожусь у власти, я буду предметом",ярых,NOUN,NOUN,1,1.0,0.5,1.0,0.75,0.6
