left_context,target_word,answer,lemma_answer,probability_y
Судя по огромному,расходу,потенциалу,потенциал,0.007518796992481203
Судя по огромному,расходу,различию,различие,0.007518796992481203
Судя по огромному,расходу,жизнь,жизнь,0.007518796992481203
Судя по огромному,расходу,впечатлению,впечатление,0.007518796992481203
Судя по огромному,расходу,возмущению,возмущение,0.007518796992481203
Судя по огромному,расходу,следу,след,0.007518796992481203
Судя по огромному,расходу,вниманию,внимание,0.007518796992481203
Судя по огромному,расходу,кратеру,кратер,0.007518796992481203
Судя по огромному,расходу,распространению,распространение,0.007518796992481203
Судя по огромному,расходу,всему,все,0.007518796992481203
Судя по огромному,расходу,количеству,количество,0.3458646616541353
Судя по огромному,расходу,недостатку,недостаток,0.007518796992481203
Судя по огромному,расходу,изобилию,изобилие,0.007518796992481203
Судя по огромному,расходу,скоплению,скопление,0.007518796992481203
Какие главные лекарства должны,входить,принимать,принимать,0.08196721311475409
Какие главные лекарства должны,входить,провоцировать,провоцировать,0.01639344262295082
Какие главные лекарства должны,входить,помогать,помогать,0.03278688524590164
Какие главные лекарства должны,входить,продавать,продавать,0.01639344262295082
Какие главные лекарства должны,входить,применяться,применять,0.01639344262295082
Какие главные лекарства должны,входить,взять,брать,0.01639344262295082
Какие главные лекарства должны,входить,стоять,стоять,0.01639344262295082
Какие главные лекарства должны,входить,продаваться,продавать,0.01639344262295082
Какие главные лекарства должны,входить,знать,знать,0.01639344262295082
Какие главные лекарства должны,входить,всегда,всегда,0.01639344262295082
Какие главные лекарства должны,входить,быть,быть,0.6721311475409836
Какие главные лекарства должны,входить,находиться,находиться,0.04918032786885246
Какие главные лекарства должны,входить,лежать,лежать,0.01639344262295082
Какие главные лекарства должны,входить,были,быть,0.01639344262295082
Дорога ведет в глухой,лес,тупик,тупик,0.03571428571428571
Дорога ведет в глухой,лес,район,район,0.011904761904761904
Дорога ведет в глухой,лес,овраг,овраг,0.011904761904761904
Дорога ведет в глухой,лес,человек,человек,0.011904761904761904
Дорога ведет в глухой,лес,переулок,переулок,0.023809523809523808
Дорога ведет в глухой,лес,поселок,поселок,0.023809523809523808
Дорога ведет в глухой,лес,бор,бор,0.011904761904761904
Дорога ведет в глухой,лес,закоулок,закоулок,0.011904761904761904
Дорога ведет в глухой,лес,угол,угол,0.011904761904761904
Дорога ведет в глухой,лес,заброшенный,забросить,0.011904761904761904
Дорога ведет в глухой,лес,глухой,глухой,0.011904761904761904
Дорога ведет в глухой,лес,заросший,зарасти,0.011904761904761904
Дорога ведет в глухой,лес,улус,улус,0.011904761904761904
Дорога ведет в глухой,лес,хутор,хутор,0.011904761904761904
Дорога ведет в глухой,лес,лес,лес,0.7857142857142857
На газовой плите стояла,открытая,кастрюля,кастрюля,0.8688524590163934
На газовой плите стояла,открытая,сковородка,сковородка,0.04918032786885246
На газовой плите стояла,открытая,сковорода,сковород,0.04918032786885246
На газовой плите стояла,открытая,полная,полный,0.01639344262295082
На газовой плите стояла,открытая,большая,большой,0.01639344262295082
В современном,обществе,читателе,читатель,0.058823529411764705
В современном,обществе,мире,мир,0.8823529411764706
В современном,обществе,обществе,общество,0.058823529411764705
В конверте вместе с деньгами была,обнаружена,открытка,открытка,0.13725490196078433
В конверте вместе с деньгами была,обнаружена,душегрейка,душегрейка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,записка,записка,0.5686274509803921
В конверте вместе с деньгами была,обнаружена,ватная,ватный,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,картинка,картинка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,еще,еще,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,эта,этот,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,прилагательное,прилагательное,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,конфетка,конфетка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,найдена,найти,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,скрепка,скрепка,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,поздравительная,поздравительный,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,зеленая,зеленый,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,вещь,вещь,0.0196078431372549
В конверте вместе с деньгами была,обнаружена,положена,класть,0.0392156862745098
В конверте вместе с деньгами была,обнаружена,прикрепленная,прикрепить,0.0196078431372549
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,быт,быт,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,чердак,чердак,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,о,о,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,кров,крова,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,уголок,уголок,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,очаг,очаг,0.01282051282051282
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,дом,дом,0.9230769230769231
Стала стабильнее экономическая и политическая,обстановка,система,система,0.07142857142857142
Стала стабильнее экономическая и политическая,обстановка,ситуация,ситуация,0.7857142857142857
Стала стабильнее экономическая и политическая,обстановка,обстановка,обстановка,0.14285714285714285
Власть судов была такой,узкой,какой,какой,0.1
Власть судов была такой,узкой,сильной,сильный,0.25
Власть судов была такой,узкой,значительной,значительный,0.05
Власть судов была такой,узкой,жестокой,жестокий,0.05
Власть судов была такой,узкой,безграничной,безграничный,0.1
Власть судов была такой,узкой,большой,большой,0.1
Власть судов была такой,узкой,огромной,огромный,0.05
Власть судов была такой,узкой,важной,важный,0.05
Власть судов была такой,узкой,непоколебимой,непоколебимый,0.05
Власть судов была такой,узкой,как,как,0.05
Власть судов была такой,узкой,что,что,0.05
Власть судов была такой,узкой,р,р,0.05
Власть судов была такой,узкой,дурной,дурной,0.05
Ей хотелось выплеснуть чай на бежевый,юлин,стол,стол,0.11320754716981132
Ей хотелось выплеснуть чай на бежевый,юлин,пиджак,пиджак,0.18867924528301888
Ей хотелось выплеснуть чай на бежевый,юлин,ковер,ковер,0.1509433962264151
Ей хотелось выплеснуть чай на бежевый,юлин,платок,платок,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,костюм,костюм,0.1509433962264151
Ей хотелось выплеснуть чай на бежевый,юлин,халат,халат,0.05660377358490566
Ей хотелось выплеснуть чай на бежевый,юлин,сюртук,сюртук,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,диван,диван,0.07547169811320754
Ей хотелось выплеснуть чай на бежевый,юлин,плащ,плащ,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,свитер,свитер,0.05660377358490566
Ей хотелось выплеснуть чай на бежевый,юлин,сарафан,сарафан,0.018867924528301886
Ей хотелось выплеснуть чай на бежевый,юлин,пол,пол,0.03773584905660377
Ей хотелось выплеснуть чай на бежевый,юлин,плед,плед,0.018867924528301886
Ей хотелось выплеснуть чай на бежевый,юлин,в,в,0.018867924528301886
Шею Лизы украшало ожерелье,стоимостью,вода,вода,0.0625
Шею Лизы украшало ожерелье,стоимостью,из,из,0.875
Шею Лизы украшало ожерелье,стоимостью,с,с,0.0625
"За углом ― Морской музей, с бесчисленными моделями",кораблей,военных,военный,0.029411764705882353
"За углом ― Морской музей, с бесчисленными моделями",кораблей,боевых,боевой,0.029411764705882353
"За углом ― Морской музей, с бесчисленными моделями",кораблей,рыб,рыба,0.014705882352941176
"За углом ― Морской музей, с бесчисленными моделями",кораблей,судов,суд,0.029411764705882353
"За углом ― Морской музей, с бесчисленными моделями",кораблей,кораблей,корабль,0.8970588235294118
От внимания наблюдателя не должна,ускользать,ускользнуть,ускользнуть,0.10204081632653061
От внимания наблюдателя не должна,ускользать,быть,быть,0.02040816326530612
От внимания наблюдателя не должна,ускользать,кружится,кружиться,0.02040816326530612
От внимания наблюдателя не должна,ускользать,получаться,получать,0.02040816326530612
От внимания наблюдателя не должна,ускользать,болеть,болеть,0.02040816326530612
От внимания наблюдателя не должна,ускользать,глагол,глагол,0.02040816326530612
От внимания наблюдателя не должна,ускользать,страдать,страдать,0.04081632653061224
От внимания наблюдателя не должна,ускользать,уходить,уходить,0.02040816326530612
От внимания наблюдателя не должна,ускользать,зависеть,зависеть,0.46938775510204084
От внимания наблюдателя не должна,ускользать,меняться,меняться,0.08163265306122448
От внимания наблюдателя не должна,ускользать,скрываться,скрываться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,скрыться,скрыться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,уйти,уйти,0.02040816326530612
От внимания наблюдателя не должна,ускользать,укрыться,укрыться,0.04081632653061224
От внимания наблюдателя не должна,ускользать,ускользать,ускользать,0.04081632653061224
В числе возможных кандидатов,называют,в,в,0.11764705882352941
В числе возможных кандидатов,называют,на,на,0.5882352941176471
В числе возможных кандидатов,называют,наук,наука,0.058823529411764705
В числе возможных кандидатов,называют,был,быть,0.17647058823529413
В числе возможных кандидатов,называют,значился,значиться,0.058823529411764705
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,сердце,сердце,0.21052631578947367
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,и,и,0.05263157894736842
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,интересном,интересный,0.05263157894736842
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,центре,центр,0.631578947368421
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,м,метр,0.05263157894736842
Мне было лень идти на стоянку и сметать,снег,грязь,грязь,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,стежки,стежок,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,мох,мох,0.038461538461538464
Мне было лень идти на стоянку и сметать,снег,ягель,ягель,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,все,все,0.05128205128205128
Мне было лень идти на стоянку и сметать,снег,весь,весь,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,там,там,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,оттуда,оттуда,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,эту,этот,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,в,в,0.02564102564102564
Мне было лень идти на стоянку и сметать,снег,всех,все,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,опавшие,опасть,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,с,с,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,р,р,0.01282051282051282
Мне было лень идти на стоянку и сметать,снег,пыль,пыль,0.1282051282051282
Мне было лень идти на стоянку и сметать,снег,листья,лист,0.05128205128205128
Мне было лень идти на стоянку и сметать,снег,мусор,мусор,0.07692307692307693
Мне было лень идти на стоянку и сметать,снег,снег,снег,0.4358974358974359
Мне было лень идти на стоянку и сметать,снег,снг,сог,0.01282051282051282
За министром труда тянется целый,шлейф,полк,полк,0.125
За министром труда тянется целый,шлейф,ворох,ворох,0.0625
За министром труда тянется целый,шлейф,состав,состав,0.0625
За министром труда тянется целый,шлейф,ряд,ряд,0.375
За министром труда тянется целый,шлейф,перечень,перечень,0.0625
За министром труда тянется целый,шлейф,п,подобный,0.0625
За министром труда тянется целый,шлейф,шлейф,шлейф,0.25
А промывать манную,крупу,кашу,каша,0.625
А промывать манную,крупу,п,подобный,0.0625
А промывать манную,крупу,крупу,крупа,0.3125
Если я еще увижу здесь хоть,соринку,раз,раз,0.125
Если я еще увижу здесь хоть,соринку,бы,бы,0.011363636363636364
Если я еще увижу здесь хоть,соринку,не,не,0.011363636363636364
Если я еще увижу здесь хоть,соринку,немного,немного,0.022727272727272728
Если я еще увижу здесь хоть,соринку,капельку,капелька,0.011363636363636364
Если я еще увижу здесь хоть,соринку,каплю,капля,0.022727272727272728
Если я еще увижу здесь хоть,соринку,кого-то,кто-то,0.011363636363636364
Если я еще увижу здесь хоть,соринку,один,один,0.20454545454545456
Если я еще увижу здесь хоть,соринку,одно,один,0.10227272727272728
Если я еще увижу здесь хоть,соринку,одного,один,0.2159090909090909
Если я еще увижу здесь хоть,соринку,одну,один,0.2159090909090909
Если я еще увижу здесь хоть,соринку,что-то,что-то,0.03409090909090909
Если я еще увижу здесь хоть,соринку,соринку,соринка,0.011363636363636364
На болотах оставался ещё,лед,день,день,0.015384615384615385
На болотах оставался ещё,лед,запах,запах,0.03076923076923077
На болотах оставался ещё,лед,охотник,охотник,0.007692307692307693
На болотах оставался ещё,лед,урожай,урожай,0.015384615384615385
На болотах оставался ещё,лед,тоннеля,тоннель,0.007692307692307693
На болотах оставался ещё,лед,трава,трава,0.007692307692307693
На болотах оставался ещё,лед,человек,человек,0.007692307692307693
На болотах оставался ещё,лед,признак,признак,0.007692307692307693
На болотах оставался ещё,лед,все,все,0.007692307692307693
На болотах оставался ещё,лед,талый,талый,0.007692307692307693
На болотах оставался ещё,лед,свежий,свежий,0.015384615384615385
На болотах оставался ещё,лед,один,один,0.2692307692307692
На болотах оставался ещё,лед,лежать,лежать,0.015384615384615385
На болотах оставался ещё,лед,недоделанный,недоделать,0.007692307692307693
На болотах оставался ещё,лед,тот,тот,0.015384615384615385
На болотах оставался ещё,лед,утренний,утренний,0.007692307692307693
На болотах оставался ещё,лед,и,и,0.015384615384615385
На болотах оставался ещё,лед,покрытый,покрыть,0.007692307692307693
На болотах оставался ещё,лед,не,не,0.038461538461538464
На болотах оставался ещё,лед,долго,долго,0.015384615384615385
На болотах оставался ещё,лед,теплый,теплый,0.007692307692307693
На болотах оставался ещё,лед,легкий,легкий,0.03076923076923077
На болотах оставался ещё,лед,некоторый,некоторый,0.007692307692307693
На болотах оставался ещё,лед,невредимый,невредимый,0.007692307692307693
На болотах оставался ещё,лед,небольшой,небольшой,0.015384615384615385
На болотах оставался ещё,лед,неизвестный,неизвестный,0.007692307692307693
На болотах оставался ещё,лед,лишь,лишь,0.007692307692307693
На болотах оставался ещё,лед,еле,еле,0.007692307692307693
На болотах оставался ещё,лед,густой,густой,0.015384615384615385
На болотах оставался ещё,лед,целый,целый,0.007692307692307693
На болотах оставался ещё,лед,сырой,сырой,0.007692307692307693
На болотах оставался ещё,лед,липкий,липкий,0.007692307692307693
На болотах оставался ещё,лед,нетронутый,нетронутый,0.007692307692307693
На болотах оставался ещё,лед,странный,странный,0.007692307692307693
На болотах оставался ещё,лед,тихий,тихий,0.007692307692307693
На болотах оставался ещё,лед,нерастаявший,нерастаять,0.007692307692307693
На болотах оставался ещё,лед,весенний,весенний,0.007692307692307693
На болотах оставался ещё,лед,серый,серый,0.007692307692307693
На болотах оставался ещё,лед,еще,еще,0.007692307692307693
На болотах оставался ещё,лед,пока,пока,0.007692307692307693
На болотах оставался ещё,лед,холодный,холодный,0.007692307692307693
На болотах оставался ещё,лед,едва,едва,0.007692307692307693
На болотах оставался ещё,лед,жив,живой,0.007692307692307693
На болотах оставался ещё,лед,несколько,несколько,0.007692307692307693
На болотах оставался ещё,лед,какой-то,какой-то,0.007692307692307693
На болотах оставался ещё,лед,в,в,0.007692307692307693
На болотах оставался ещё,лед,высокий,высокий,0.007692307692307693
На болотах оставался ещё,лед,туман,туман,0.12307692307692308
На болотах оставался ещё,лед,снег,снег,0.046153846153846156
На болотах оставался ещё,лед,мох,мох,0.015384615384615385
На болотах оставался ещё,лед,сухостой,сухоста,0.007692307692307693
На болотах оставался ещё,лед,след,след,0.03076923076923077
На болотах оставался ещё,лед,дым,дым,0.007692307692307693
"Сделав мне знак помолчать, он приложил",ухо,палец,палец,0.45161290322580644
"Сделав мне знак помолчать, он приложил",ухо,руку,рука,0.1827956989247312
"Сделав мне знак помолчать, он приложил",ухо,усилие,усилие,0.021505376344086023
"Сделав мне знак помолчать, он приложил",ухо,усилия,усилие,0.03225806451612903
"Сделав мне знак помолчать, он приложил",ухо,дело,дело,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,руки,рука,0.021505376344086023
"Сделав мне знак помолчать, он приложил",ухо,лед,лед,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,ладонь,ладонь,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,голову,голова,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,ключ,ключ,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,к,к,0.053763440860215055
"Сделав мне знак помолчать, он приложил",ухо,уйти,уйти,0.021505376344086023
"Сделав мне знак помолчать, он приложил",ухо,свою,свой,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,мою,мой,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,все,все,0.043010752688172046
"Сделав мне знак помолчать, он приложил",ухо,приложил,приложить,0.010752688172043012
"Сделав мне знак помолчать, он приложил",ухо,ухо,ухо,0.08602150537634409
Ваня раскрыл было,рот,мешок,мешок,0.009174311926605505
Ваня раскрыл было,рот,книгу,книга,0.30275229357798167
Ваня раскрыл было,рот,дело,дело,0.03669724770642202
Ваня раскрыл было,рот,замки,замок,0.009174311926605505
Ваня раскрыл было,рот,пальто,пальто,0.009174311926605505
Ваня раскрыл было,рот,тетрадь,тетрадь,0.03669724770642202
Ваня раскрыл было,рот,дверь,дверь,0.045871559633027525
Ваня раскрыл было,рот,глаза,глаз,0.01834862385321101
Ваня раскрыл было,рот,ладони,ладонь,0.009174311926605505
Ваня раскрыл было,рот,подарок,подарок,0.009174311926605505
Ваня раскрыл было,рот,ставни,ставень,0.009174311926605505
Ваня раскрыл было,рот,окно,окно,0.027522935779816515
Ваня раскрыл было,рот,коробку,коробка,0.027522935779816515
Ваня раскрыл было,рот,пачку,пачка,0.009174311926605505
Ваня раскрыл было,рот,пакет,пакет,0.01834862385321101
Ваня раскрыл было,рот,журнал,журнал,0.01834862385321101
Ваня раскрыл было,рот,секрет,секрет,0.01834862385321101
Ваня раскрыл было,рот,конверт,конверт,0.01834862385321101
Ваня раскрыл было,рот,карты,карта,0.009174311926605505
Ваня раскрыл было,рот,свой,свой,0.009174311926605505
Ваня раскрыл было,рот,для,для,0.009174311926605505
Ваня раскрыл было,рот,и,и,0.009174311926605505
Ваня раскрыл было,рот,в,в,0.009174311926605505
Ваня раскрыл было,рот,было,было,0.009174311926605505
Ваня раскрыл было,рот,это,это,0.009174311926605505
Ваня раскрыл было,рот,что,что,0.009174311926605505
Ваня раскрыл было,рот,весь,весь,0.009174311926605505
Ваня раскрыл было,рот,п,подобный,0.009174311926605505
Ваня раскрыл было,рот,ре,ра,0.009174311926605505
Ваня раскрыл было,рот,тайну,тайна,0.027522935779816515
Ваня раскрыл было,рот,преступление,преступление,0.009174311926605505
Ваня раскрыл было,рот,рот,рот,0.22935779816513763
Но четыре года я не мог себя,заставить,понять,понять,0.13333333333333333
Но четыре года я не мог себя,заставить,преодолеть,преодолеть,0.06666666666666667
Но четыре года я не мог себя,заставить,содержать,содержать,0.06666666666666667
Но четыре года я не мог себя,заставить,простить,простить,0.13333333333333333
Но четыре года я не мог себя,заставить,остановить,остановить,0.06666666666666667
Но четыре года я не мог себя,заставить,успокоить,успокоить,0.06666666666666667
Но четыре года я не мог себя,заставить,убедить,убедить,0.06666666666666667
Но четыре года я не мог себя,заставить,сдерживать,сдерживать,0.06666666666666667
Но четыре года я не мог себя,заставить,уговорить,уговорить,0.06666666666666667
Но четыре года я не мог себя,заставить,заставить,заставить,0.26666666666666666
Возможности этих перемен будут обсуждаться в Париже,летом,людьми,человек,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,в,в,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,во,в,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,завтра,завтра,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,этой,этот,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,на,на,0.5714285714285714
Возможности этих перемен будут обсуждаться в Париже,летом,к,к,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,а,а,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,иначе,иначе,0.047619047619047616
Возможности этих перемен будут обсуждаться в Париже,летом,осенью,осень,0.047619047619047616
Отвернув цветастое,покрывало,платье,платье,0.35294117647058826
Отвернув цветастое,покрывало,пальто,пальто,0.058823529411764705
Отвернув цветастое,покрывало,по,по,0.058823529411764705
Отвернув цветастое,покрывало,а,а,0.058823529411764705
Отвернув цветастое,покрывало,одеяло,одеяло,0.11764705882352941
Отвернув цветастое,покрывало,полотно,полотно,0.058823529411764705
Отвернув цветастое,покрывало,покрывало,покрывать,0.29411764705882354
"Я люблю салат из картошки с зеленью, заправленный",пахучим,льняным,NOT_FOUND,0.011235955056179775
"Я люблю салат из картошки с зеленью, заправленный",пахучим,майонезом,майонез,0.4157303370786517
"Я люблю салат из картошки с зеленью, заправленный",пахучим,маслом,масло,0.20224719101123595
"Я люблю салат из картошки с зеленью, заправленный",пахучим,оливковым,оливковый,0.02247191011235955
"Я люблю салат из картошки с зеленью, заправленный",пахучим,подсолнечным,подсолнечный,0.0898876404494382
"Я люблю салат из картошки с зеленью, заправленный",пахучим,постным,постный,0.011235955056179775
"Я люблю салат из картошки с зеленью, заправленный",пахучим,растительным,растительный,0.0449438202247191
"Я люблю салат из картошки с зеленью, заправленный",пахучим,свежим,свежий,0.011235955056179775
"Я люблю салат из картошки с зеленью, заправленный",пахучим,сметаной,сметана,0.19101123595505617
Убедительно просим вас разборчиво заполнять,купон,т,тонна,0.0625
Убедительно просим вас разборчиво заполнять,купон,все,все,0.0625
Убедительно просим вас разборчиво заполнять,купон,бланки,бланк,0.25
Убедительно просим вас разборчиво заполнять,купон,бланк,бланк,0.1875
Убедительно просим вас разборчиво заполнять,купон,анкету,анкета,0.1875
Убедительно просим вас разборчиво заполнять,купон,квитанции,квитанция,0.0625
Убедительно просим вас разборчиво заполнять,купон,форму,форма,0.0625
Убедительно просим вас разборчиво заполнять,купон,документы,документ,0.0625
Убедительно просим вас разборчиво заполнять,купон,анкеты,анкета,0.0625
"Собаку, виновницу случившегося, приказали",сечь,не,не,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,убить,убить,0.2
"Собаку, виновницу случившегося, приказали",сечь,прогнать,прогнать,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,отвезти,отвезти,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,запереть,запереть,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,сторожить,сторожить,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,усыпить,усыпить,0.2
"Собаку, виновницу случившегося, приказали",сечь,расстрелять,расстрелять,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,выгнать,выгнать,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,утопить,утопить,0.06666666666666667
"Собаку, виновницу случившегося, приказали",сечь,пристрелить,пристрелить,0.06666666666666667
"Покуда я нахожусь у власти, я буду предметом",ярых,пристального,пристальный,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,всеобщего,всеобщий,0.11320754716981132
"Покуда я нахожусь у власти, я буду предметом",ярых,сплетен,сплетна,0.09433962264150944
"Покуда я нахожусь у власти, я буду предметом",ярых,зависти,зависть,0.05660377358490566
"Покуда я нахожусь у власти, я буду предметом",ярых,обсуждений,обсуждение,0.07547169811320754
"Покуда я нахожусь у власти, я буду предметом",ярых,обсуждения,обсуждение,0.16981132075471697
"Покуда я нахожусь у власти, я буду предметом",ярых,подражания,подражание,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,насмешек,насмешка,0.03773584905660377
"Покуда я нахожусь у власти, я буду предметом",ярых,гордости,гордость,0.03773584905660377
"Покуда я нахожусь у власти, я буду предметом",ярых,чести,честь,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,нападок,нападки,0.03773584905660377
"Покуда я нахожусь у власти, я буду предметом",ярых,критики,критика,0.09433962264150944
"Покуда я нахожусь у власти, я буду предметом",ярых,обожания,обожание,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,уважения,уважение,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,в,в,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,искусства,искусство,0.018867924528301886
"Покуда я нахожусь у власти, я буду предметом",ярых,манипуляции,манипуляция,0.018867924528301886
