left_context,target_word,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,5,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947,0.4,0.8421052631578947
Мне было лень идти на стоянку и сметать,снег,18,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255,0.2222222222222222,0.5384615384615384,0.21052631578947367,0.5256410256410255
За министром труда тянется целый,шлейф,7,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625
А промывать манную,крупу,3,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
Если я еще увижу здесь хоть,соринку,10,0.3,0.7727272727272727,0.3076923076923077,0.7386363636363636,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728,0.3,0.7727272727272727,0.46153846153846156,0.7727272727272728
На болотах оставался ещё,лед,53,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384,0.07547169811320754,0.3384615384615384
"Сделав мне знак помолчать, он приложил",ухо,15,0.3333333333333333,0.8064516129032258,0.23529411764705882,0.7741935483870968,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398,0.3333333333333333,0.8064516129032258,0.29411764705882354,0.7849462365591398
Ваня раскрыл было,рот,32,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616,0.125,0.30275229357798167,0.09375,0.29357798165137616
Но четыре года я не мог себя,заставить,10,0.2,0.4,0.2,0.4,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667,0.3,0.4666666666666667
Возможности этих перемен будут обсуждаться в Париже,летом,9,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191,0.2222222222222222,0.6666666666666666,0.2,0.6190476190476191
Отвернув цветастое,покрывало,7,0.42857142857142855,0.7647058823529412,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529412,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529412,0.42857142857142855,0.7647058823529411,0.42857142857142855,0.7647058823529412,0.42857142857142855,0.7647058823529411,0.5714285714285714,0.823529411764706,0.42857142857142855,0.7647058823529411,0.5714285714285714,0.823529411764706,0.42857142857142855,0.7647058823529411,0.5714285714285714,0.823529411764706,0.42857142857142855,0.7647058823529411
"Я люблю салат из картошки с зеленью, заправленный",пахучим,9,0.4444444444444444,0.46067415730337075,0.4444444444444444,0.46067415730337075,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606,0.6666666666666666,0.9662921348314606
Убедительно просим вас разборчиво заполнять,купон,7,0.42857142857142855,0.75,0.3333333333333333,0.3125,0.42857142857142855,0.75,0.5555555555555556,0.75,0.42857142857142855,0.75,0.5555555555555556,0.75,0.42857142857142855,0.75,0.5555555555555556,0.75,0.42857142857142855,0.75,0.5555555555555556,0.75,0.42857142857142855,0.75,0.5555555555555556,0.75,0.42857142857142855,0.75,0.5555555555555556,0.75
"Собаку, виновницу случившегося, приказали",сечь,11,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2,0.09090909090909091,0.2
"Покуда я нахожусь у власти, я буду предметом",ярых,21,0.19047619047619047,0.169811320754717,0.17391304347826086,0.16981132075471697,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.41509433962264153,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.41509433962264153,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.4150943396226415,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.4150943396226415,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.4150943396226415,0.23809523809523808,0.4150943396226415,0.2608695652173913,0.4150943396226415
"Олень бродил среди берёз, жевал",талый,7,0.5714285714285714,0.6,0.5714285714285714,0.6,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333,0.7142857142857143,0.7333333333333333
Телята быстро,росли,14,0.07142857142857142,0.2777777777777778,0.0,0.0,0.21428571428571427,0.38888888888888895,0.14285714285714285,0.1111111111111111,0.21428571428571427,0.38888888888888895,0.14285714285714285,0.1111111111111111,0.21428571428571427,0.38888888888888895,0.14285714285714285,0.1111111111111111,0.2857142857142857,0.4444444444444444,0.21428571428571427,0.16666666666666666,0.2857142857142857,0.4444444444444444,0.21428571428571427,0.16666666666666666,0.2857142857142857,0.4444444444444444,0.21428571428571427,0.16666666666666666
Что может сделать самый сильный,вол,21,0.19047619047619047,0.7747747747747747,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747,0.2857142857142857,0.7927927927927928,0.19047619047619047,0.7747747747747747
"Твоё тело расслабляется, и исчезает",напряжение,7,0.14285714285714285,0.2,0.14285714285714285,0.2,0.42857142857142855,0.4,0.2857142857142857,0.26666666666666666,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4,0.42857142857142855,0.4
С нескрываемой,едкой,6,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428,0.3333333333333333,0.6428571428571428
Он признаёт право каждого,жить,5,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047
У нас в Волгограде многие придерживаются,иной,22,0.18181818181818182,0.41791044776119396,0.1111111111111111,0.3582089552238806,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373,0.22727272727272727,0.43283582089552236,0.18518518518518517,0.3880597014925373
Чтобы придать объем,тонким,9,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.3,0.5555555555555556
В каждом,углу,16,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154,0.125,0.2153846153846154
Когда мне хотелось,сгущенки,18,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125,0.16666666666666666,0.24999999999999997,0.15789473684210525,0.125
Педагог предъявляет,одинаковые,8,0.125,0.3333333333333333,0.125,0.3333333333333333,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667,0.25,0.4666666666666667
Ее сын Гриша умер,бездетным,7,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222
Ненужный коврик из твёрдой,пластмассы,7,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154,0.2857142857142857,0.6153846153846154
"Мне нравится сын коллеги,",который,13,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931,0.38461538461538464,0.8390804597701149,0.2777777777777778,0.6896551724137931
"Зачем ему звонить, если откликается",спокойный,10,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529,0.3,0.4117647058823529,0.2727272727272727,0.4117647058823529
На вторичном рынке жилья,розетки,38,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077,0.10526315789473684,0.3076923076923077,0.09090909090909091,0.3076923076923077
В котёл бросают куски,баранины,5,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8
В темноте Иван задел острый,сук,11,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873,0.45454545454545453,0.8734177215189873
Я знал: их особенно,злило,12,0.4166666666666667,0.5625,0.25,0.375,0.4166666666666667,0.5625,0.25,0.375,0.4166666666666667,0.5625,0.3333333333333333,0.5,0.4166666666666667,0.5625,0.3333333333333333,0.5,0.4166666666666667,0.5625,0.3333333333333333,0.5,0.4166666666666667,0.5625,0.3333333333333333,0.5,0.4166666666666667,0.5625,0.3333333333333333,0.5
В речи учёного прозвучало,неявное,47,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697,0.0851063829787234,0.16981132075471697
"Город, раскинувшийся вдоль",реки,12,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375,0.3333333333333333,0.84375,0.38461538461538464,0.84375
"Взяв с собой фотоаппарат, вся",семья,9,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994,0.3333333333333333,0.49999999999999994
Он стал плохо,спать,12,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5
"Они не ели целый день,",несчастные,4,0.5,0.5333333333333333,0.5,0.5333333333333333,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8,0.75,0.8
