left_context,target_word,target_lemma,p_target_human,p_target_model,n_human_target_matches,n_model_target_matches
Когда родители,пригрозили,пригрозили,0.0,0.0,0,0
"Товарищ генерал,",противник,противник,0.0,0.0,0,0
"Считается, что коллекционирование",раритетных,раритетных,0.0,0.0,0,0
"Один футболист, который получил",растяжение,растяжение,0.0,0.0,0,0
Судя по огромному,расходу,расходу,0.0,0.0,0,0
"Город, раскинувшийся вдоль",реки,реки,0.640625,0.2627698870549765,1,5
Под рукавом рубашки виднелся тонкий,ремешок,ремешок,0.012345679012345678,0.0,1,0
На вторичном рынке жилья,розетки,розетки,0.0,0.0,0,0
Телята быстро,росли,росли,0.2777777777777778,0.386501824434908,1,10
Ваня раскрыл было,рот,рот,0.22935779816513763,0.4908337516665909,1,4
В мои обязанности входило утром включить,рубильник,рубильник,0.0,0.0,0,0
И на берегу озера тогда появляются,русалки,русалки,0.0,0.0,0,0
"Наживка, на которую он ловил",рыбу,рыбу,0.828125,0.21891803640855273,2,4
"Не обнаружив ничего в досье, сыщики решили",рыть,рыть,0.0,0.0,0,0
Когда мне хотелось,сгущенки,сгущенки,0.0,0.0,0,0
"Взяв с собой фотоаппарат, вся",семья,семья,0.1111111111111111,0.1455729231542185,1,1
"Собаку, виновницу случившегося, приказали",сечь,сечь,0.0,0.0,0,0
Мне было лень идти на стоянку и сметать,снег,снег,0.4358974358974359,0.5910274276693689,1,1
От смерти его спасла,собака,собака,0.08163265306122448,6.529403443614419e-05,1,1
"По воскресеньям музыканты, исполнявшие",сонату,сонату,0.0,0.0,0,0
Он умел из любого,сора,сора,0.011627906976744186,0.0,1,0
Если я еще увижу здесь хоть,соринку,соринку,0.011363636363636364,0.0,1,0
Количество денег в обороте выросло благодаря,союзу,союзу,0.0,0.0,0,0
Он стал плохо,спать,спать,0.05555555555555555,0.10894769842364822,1,6
Работы выполняет,специалист,специалист,0.0,0.0,0,0
"Зачем ему звонить, если откликается",спокойный,спокойный,0.0,0.0,0,0
"Я слезал, щупал",стога,стога,0.0,0.0,0,0
Шею Лизы украшало ожерелье,стоимостью,стоимостью,0.0,0.0,0,0
Этот роман захватывает читателя с первой,страницы,страницы,0.7647058823529411,0.9379771275222578,1,2
Автор принадлежит к числу последних свидетелей,страшных,страшных,0.01639344262295082,0.0,1,0
В темноте Иван задел острый,сук,сук,0.012658227848101266,0.0,1,0
"Приготовь себе диетические овощные блюда,",сытные,сытные,0.0,0.0,0,0
"Олень бродил среди берёз, жевал",талый,талый,0.0,0.0,0,0
Причиной аварии был мобильный,телефон,телефон,0.96875,0.97449754174383,1,1
После завершения,техосмотра,техосмотра,0.0,0.0,0,0
Чтобы придать объем,тонким,тонким,0.0,0.0,0,0
В лесу ветром,трепало,трепало,0.013157894736842105,0.0147882152658093,1,3
В каждом,углу,углу,0.0,0.0,0,0
Власть судов была такой,узкой,узкой,0.0,0.0,0,0
Володя каким-то образом,узнал,узнал,0.17857142857142858,0.0,1,0
За два года накопилась,уйма,уйма,0.0,0.0,0,0
Если мы позволим этим людям,уйти,уйти,0.0,0.0,0,0
"Думаю, большой",урон,урон,0.0,0.0,0,0
"Елена сидела в кресле, молодая Мурка",урчала,урчала,0.008,0.0,1,0
От внимания наблюдателя не должна,ускользать,ускользать,0.04081632653061224,0.0946266482771515,1,1
Государством предлагается,установить,установить,0.0,0.0,0,0
"Сделав мне знак помолчать, он приложил",ухо,ухо,0.08602150537634409,0.207755543247403,1,4
"Она успевала убраться, разморозить",фарш,фарш,0.0,0.0,0,0
"Что используют для этой прически,",фен,фен,0.0,0.0,0,0
"Выбирая вязаную шапочку, знайте, что лучше шапка цвета",хаки,хаки,0.32,0.0,1,0
Она с досадой,хмурила,хмурила,0.0,0.0,0,0
"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,центре,0.631578947368421,0.5975809177071755,1,1
Я сделала,шаг,шаг,0.056818181818181816,0.0,1,0
За министром труда тянется целый,шлейф,шлейф,0.25,0.5842738490120795,1,1
Мы установили камеру на новый,штатив,штатив,0.07482993197278912,0.0181653149704634,1,1
Ей хотелось выплеснуть чай на бежевый,юлин,юлин,0.0,0.0,0,0
На привале у озера,юный,юный,0.0,0.0,0,0
"Покуда я нахожусь у власти, я буду предметом",ярых,ярых,0.018867924528301886,0.0,1,0
